index	name	pval	adj_pval	diff	t_statistic	se	df	avg_abundance	n_approx	n_obs
1	A0A096LPI6	0.90202661	0.939859012	0.019828798	0.125352676	0.158184085	14	25.78048169	21.00000074	21
2	A0A0A6YYA0;Q9Y3B3	0.282507913	0.437962844	0.129275591	1.117702399	0.115661907	14	25.68207866	21	21
3	A0A0A6YYH1;P59780	0.86225963	0.939859012	0.054762623	0.176719648	0.309884178	14	21.95303905	14.08388111	14
4	A0A0A6YYL6;P18621	0.014752746	0.044354925	0.090535619	2.77988411	0.032568127	14	30.20685653	21	21
5	A0A0B4J1V8;Q9NQ55	0.529009512	0.699879203	0.21555019	0.645550574	0.333901322	14	24.84475592	21	21
6	A0A0B4J269;Q13509	0.052231033	0.121423918	2.879278296	2.121296593	1.357320002	14	23.01283473	7.001	5
7	A0A0B4J2E5;Q15269	0.842641792	0.939859012	0.01955404	0.202235728	0.096689344	14	25.88490832	21.00000044	21
8	A0A0J9YWU9;P0DP08;P0DP06;A0A0C4DH41;P01825;P06331;P01824;A0A0C4DH34;A0A087WW49;A0A075B7B6;A0A075B6R2;P0DP07;A0A087WSY4;Q9LKU3	0.000981943	0.004647974	0.294985579	4.149803621	0.071084226	14	26.11973402	21.00000001	21
9	A0A0U1RQV1	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
10	A0A183	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
11	A0A1B0GU03;P07339	0.141564216	0.258609607	-0.20474107	-1.557923986	0.131419165	14	24.14017556	21.0000003	21
12	A0A1I9LT02;Q9M9P3	1.73E-06	1.88E-05	-2.819850305	-7.841484049	0.359606713	14	24.7443017	16.07163012	16
13	A0A1P8AN89	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
14	A0A1P8ATL2;Q9SA52	2.69E-13	4.78E-11	-2.050553797	-26.19974998	0.078266159	14	25.31125807	12.01701536	12
15	A0A1P8AWQ7;F4HPY8;Q9ASZ9;Q93ZN2;Q84M96;O22707	0.082591263	0.17254835	-2.129010265	-1.869650452	1.138721018	14	21.55759961	7.001	1
16	A0A1P8AWX3;F4HR92	1.54E-10	6.79E-09	-4.104471327	-16.41071786	0.250109188	14	23.00135871	8.076027124	8
17	A0A1P8AY88;Q9FFK7	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
18	A0A1P8B068	0.021560078	0.06030906	-3.805481747	-2.585914369	1.471619398	14	22.39729124	7.001	5
19	A0A1P8B096	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
20	A0A1P8B167;Q9SJU9	0.006445715	0.022373052	-1.444523224	-3.198032376	0.451691245	14	21.98428926	7.109705416	7
21	A0A1P8B2T5	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
22	A0A1P8B386	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
23	A0A1P8B4W3;F4JIE1;Q8GXE2;Q8W108	0.080226449	0.168889714	-2.146439876	-1.885916027	1.138141807	14	21.56008949	7.001	1
24	A0A1P8B564;P25819	1.89E-10	7.83E-09	-3.039434675	-16.16032533	0.188080043	14	23.77730992	12.07099884	12
25	Q8H1G4;A0A1P8B5Z0	0.436412584	0.606116259	-1.389642205	-0.801183437	1.734486935	14	21.49581886	7.001	5
26	A0A1P8B667	0.076011523	0.162250266	-0.76136298	-1.916009729	0.397369057	14	22.33846595	7.013277812	7
27	A0A1P8B9L1;Q9S7E4	4.11E-05	0.000304731	-3.344932714	-5.865529573	0.570269517	14	23.4698276	10.54991344	10
28	Q94JV8;A0A1P8B9S8	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
29	A0A1P8BFG5;Q9FK35	0.11150564	0.216189067	-2.773589978	-1.698562439	1.63290434	14	21.64608754	7.001	3
30	A0A1P8BG25;Q9SD73;Q9SD68;Q8RWM4	7.51E-11	3.90E-09	-2.775305843	-17.31591955	0.160274817	14	24.42442993	21	21
31	A0A1W2PNV4	0.591993957	0.762716803	0.787839027	0.548491968	1.436372953	14	22.07495452	7.001	5
32	A0A1W2PQS6;O95989	0.533627286	0.704802833	0.175453288	0.638227082	0.274907307	14	22.71191019	11.94975163	12
33	A0A1W2PRB8;Q9H0W9;Q9NVC6	0.666303599	0.835725977	-0.086876853	-0.440495273	0.197225392	14	22.76132254	21	21
34	A0A219HZL6	0.001228737	0.005562663	-0.601259637	-4.035031085	0.149009914	14	25.33172331	18.6091916	19
35	A0A219I0W9;Q9ZSR7	2.44E-07	3.37E-06	-2.380224362	-9.2467938	0.257410775	14	24.96541974	17.41550687	18
36	A0AVT1	0.257032185	0.407300569	0.107913531	1.181639445	0.091325261	14	26.44281019	21.00000018	21
37	A0FGR8	0.711775343	0.877760588	0.554233534	0.377070404	1.469840984	14	21.65680114	7.001	5
38	A1L0T0	0.722326867	0.887591384	0.180618638	0.362589545	0.498135262	14	23.54644281	18.80296451	19
39	Q8IVF6;A2A2Z9	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
40	A2A3N6	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
41	A3KN83	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
42	A4D1E9	0.066082967	0.145108389	-1.898099987	-1.993357035	0.952212752	14	22.32491789	6.971498483	7
43	A5YKK6	0.959069174	0.97195799	0.017151861	0.052248137	0.328276985	14	25.52623112	21.00000092	21
44	A6NDG6	0.058509575	0.132494945	0.115337134	2.059857212	0.055992781	14	26.57283041	21	21
45	A6NFQ2;A0A1B0GVM2	0.576299648	0.747180773	0.233413016	0.572139964	0.407964887	14	19.80807788	15.0433728	15
46	A6NFQ7	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
47	A6NHQ2	0.104766086	0.206641813	0.238593876	1.734584022	0.137551063	14	25.85185989	15.29198504	16
48	A6NHR9	0.351211751	0.516298037	0.276635902	0.964395007	0.286849165	14	24.3346946	19.88151493	20
49	A6NJ78	0.573999414	0.745427406	-0.099603834	-0.575633927	0.173033293	14	21.57762282	16.03145112	16
50	A6NKT7;Q7Z3J3	0.008639662	0.028394829	0.683571292	3.050590905	0.224078322	14	23.00344043	18.99884212	19
51	A6QL64	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
52	A8CG34;Q96HA1	0.255695333	0.406117372	1.302683936	1.18512619	1.099194286	14	22.3231284	14.02468756	14
53	A8MS32	0.825858659	0.939859012	-0.322429344	-0.224176364	1.438284296	14	21.25753881	7.001	3
54	A8MS81	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
55	A8MT65	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
56	A8MXV4;REV__Q8L7U7;REV__Q9SKH9	0.65718958	0.82693226	-0.105703826	-0.453427449	0.233121808	14	23.22588332	17.92627293	18
57	Q8N7Z2;A8MZA4;H0YM25	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
58	A8TX70	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
59	A9UHW6	0.937709864	0.954352523	0.088125279	0.079564361	1.107597384	14	21.50707941	10.10610417	10
60	B0I1T2	0.048323141	0.114122218	0.079747566	2.163092048	0.036867394	14	29.00089978	21	21
61	B3H5K3	0.91763793	0.939859012	-0.129675991	-0.105291858	1.231586122	14	22.55742435	7.001	2
62	B3LFA4	0.940162716	0.956318505	0.10376953	0.07642461	1.357802536	14	21.08110374	7.001	2
63	B4DLN1;Q9UBX3	0.726003146	0.889725583	0.019159291	0.357563296	0.053582934	14	27.45759405	21	21
64	B4E1Z4;P06681	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
65	B4E2M5	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
66	P0CG08;B7ZAQ6	0.917637753	0.939859012	-0.129704372	-0.105292085	1.231853004	14	21.46675116	7.001	1
67	B7ZWR6	0.110833548	0.215292408	-2.748238266	-1.702067579	1.614646974	14	21.9780303	7.001	5
68	B9DG73	0.169321895	0.296250149	-2.366403908	-1.449157819	1.632951137	14	21.75626534	7.001	5
69	B9DGD6	0.279986368	0.434665808	-2.037466589	-1.12383077	1.812965655	14	21.32305083	7.001	2
70	Q0WV25;P29511;B9DGT7	1.06E-09	3.06E-08	-2.347053025	-14.18662648	0.165441236	14	25.13226881	13.06375816	13
71	P0DI07;B9DHD3	0.804823514	0.939859012	0.362062239	0.251840745	1.437663469	14	21.20173425	7.001	1
72	Q56WH1;B9DHQ0	0.000414575	0.002224399	-0.456358092	-4.597317612	0.099266166	14	29.57519161	21.00000005	21
73	C0LGE0	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
74	C0SVV6	0.424564517	0.594865785	-0.993633393	-0.82252887	1.208022513	14	22.26786074	7.001	2
75	C0Z361;Q9C667	0.676353981	0.844483708	-0.777068688	-0.426324063	1.822718342	14	21.31719968	7.001	5
76	C9JAW5;Q9Y241	0.312469119	0.473346863	1.464828018	1.047833404	1.397958885	14	21.49977537	7.001	1
77	E7ENX8;P13765;Q94JY4;Q8N5H7	0.308341758	0.469289848	0.186758088	1.057155589	0.176660929	14	26.08187345	21	21
78	E7EVH7;Q07866;Q9H0B6	0.147180553	0.266259922	0.623049016	1.534546497	0.406015079	14	25.27415086	21.00000045	21
79	E9PAV3;Q9BZK3	0.014832887	0.044547214	-0.149006424	-2.777128829	0.053654848	14	27.04163188	21.00000019	21
80	E9PL57;Q15843;Q86V88	0.008958683	0.029181983	0.22032055	3.032315002	0.072657541	14	26.32732272	21.00000049	21
81	E9PLD3;E9PRG8	0.359888367	0.526490955	0.245367721	0.946614918	0.259205424	14	24.58991701	16.84787541	18
82	E9PLN8;Q9BQB6	0.000673243	0.003363162	0.679475083	4.34438928	0.1564029	14	24.26484353	19.91564681	20
83	F4HS99;F4HZK4	0.823614018	0.939859012	0.506925615	0.227119298	2.231979488	14	21.1792103	7.001	3
84	F4HTY0	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
85	F4HV36	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
86	F4JU70;F4HW79;O04619	0.013591539	0.041337801	0.163193706	2.821536127	0.057838602	14	28.7551991	21.00000026	21
87	F4HWQ5;P46077;Q8WXH0	6.97E-10	2.20E-08	-2.329158851	-14.64801486	0.159008499	14	23.39066866	10.01148474	10
88	F4HWY6	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
89	F4HXV6	0.471082717	0.642544688	1.048658597	0.740757879	1.415656353	14	21.81142525	7.001	3
90	F4HYF3	0.20768401	0.346664789	-2.158613054	-1.321008974	1.634063883	14	21.78970909	7.001	5
91	F4I082	2.65E-08	4.79E-07	-2.59102359	-11.05958707	0.234278511	14	22.96236066	10.13955738	10
92	F4I116	0.163377271	0.288822054	-2.372907072	-1.471117431	1.612996367	14	21.59131689	7.001	3
93	F4I3J6	0.181144286	0.311235734	-2.241638018	-1.407324139	1.592837042	14	21.80035094	7.001	4
94	F4I420	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
95	F4I7I0;Q9LDV4	1.43E-05	0.000121706	-2.641725471	-6.486842016	0.407243689	14	23.42870217	11.31212694	11
96	F4I7X1	0.000343313	0.001903261	-1.314499031	-4.696720772	0.279875917	14	22.76187118	12.00565021	12
97	F4IB35	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
98	F4IBL0	0.078073522	0.165560376	-2.183729677	-1.90110426	1.148663817	14	21.56541665	7.001	1
99	F4IBX5	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
100	F4IC59	0.09444168	0.191562803	-2.901117886	-1.793940854	1.617175884	14	22.24955881	7.001	5
101	F4ICX9	0.989079463	0.992866966	0.025872995	0.01393374	1.856859344	14	21.2328755	7.001	4
